title,location,country,city,stars,rating,ratings_no,date,duration,airport,food,price,old_price
Czarnogóra bez pośpiechu,Objazd Czarnogóra: Podgorica - Bar,Czarnogóra, Podgorica - Bar,,4.8,33,07.09.2023,8,Katowice,Śniadania i obiadokolacje,3118.0,
Tsokkos Paradise Village,Wypoczynek Cypr: Cypr południowy,Cypr, Cypr południowy,4.0,5.5,36,06.05.2023,8,Katowice,All inclusive,3123.0,
Admiral De Luxe,Wypoczynek Grecja: Zakynthos,Grecja, Zakynthos,4.5,,0,26.09.2023,4,Katowice,All inclusive,3124.0,
Turecka Układanka,Objazd + wypoczynek Turcja: Riwiera Turecka - Kapadocja - Marmaris,Turcja, Riwiera Turecka - Kapadocja - Marmaris,,5.8,2,25.09.2023,8,Wrocław,Śniadania i obiadokolacje,3124.0,
Palma,Wypoczynek Czarnogóra,Czarnogóra,,4.0,,0,28.09.2023,8,Warszawa Chopin,Śniadania,3129.0,
Bałkany znane i nieznane,"Objazd + wypoczynek Chorwacja, Czarnogóra, Bośnia i Hercegowina","Chorwacja, Czarnogóra, Bośnia i Hercegowina",,,5.2,60,28.09.2023,8,Warszawa Chopin,Śniadania i obiadokolacje,3129.0,
Novotel Marsa Alam Resort,Wypoczynek Egipt: Marsa Alam,Egipt, Marsa Alam,5.0,4.9,21,30.05.2023,5,Warszawa Chopin,All inclusive,3129.0,
Zapach wina i lawendy,Objazd + wypoczynek Chorwacja i Czarnogóra,Chorwacja i Czarnogóra,,,4.8,372,11.05.2023,8,Warszawa Chopin,Śniadania i obiadokolacje,3129.0,
Elba Castillo San Jorge & Antigua,Wypoczynek Hiszpania: Fuerteventura,Hiszpania, Fuerteventura,3.5,5.4,277,08.05.2023,8,Warszawa Chopin,All inclusive,3130.0,
Arin Resort,Wypoczynek Turcja: Riwiera Egejska,Turcja, Riwiera Egejska,5.0,,0,07.05.2023,8,Warszawa Chopin,Ultra All Inclusive,3130.0,
Playalinda,Wypoczynek Hiszpania: Costa Almeria,Hiszpania, Costa Almeria,4.0,5.0,54,29.05.2023,8,Warszawa Chopin,Śniadania i obiadokolacje,3130.0,
Mediterranean Resort,Wypoczynek Grecja: Riwiera Olimpijska,Grecja, Riwiera Olimpijska,4.0,5.8,2,06.05.2023,8,Warszawa Chopin,Śniadania i obiadokolacje,3130.0,
Dubrovnik bez pośpiechu,Objazd + wypoczynek Chorwacja: Dubrovnik,Chorwacja, Dubrovnik,,,0,28.09.2023,8,Warszawa Chopin,Śniadania i obiadokolacje,3130.0,
Aqua Hotel Aquamarina & SPA,Wypoczynek Hiszpania: Costa Brava - Costa del Maresme,Hiszpania, Costa Brava - Costa del Maresme,4.0,5.1,6,20.05.2023,8,Warszawa Chopin,Śniadania,3130.0,
Hotel Hvar,Wypoczynek Chorwacja: Hvar,Chorwacja, Hvar,3.0,4.8,64,31.08.2023,8,Katowice,All inclusive,3131.0,
GHT Miratge,Wypoczynek Hiszpania: Costa Brava,Hiszpania, Costa Brava,4.5,5.4,7,30.09.2023,8,Katowice,Śniadania,3135.0,
IBEROSTAR Selection Kantaoui Bay,Wypoczynek Tunezja: Susa,Tunezja, Susa,5.0,5.7,15,18.06.2023,5,Katowice,All inclusive,3140.0,
Seafront Beach Hotel Apartments,Wypoczynek Grecja: Kreta - Chania,Grecja, Kreta - Chania,3.0,3.9,47,01.10.2023,8,Wrocław,Śniadania i obiadokolacje,3140.0,
Naturalna kraina orła,"Objazd + wypoczynek Albania, Macedonia, Grecja","Albania, Macedonia, Grecja",,,5.0,31,16.06.2023,8,Poznań,Śniadania i obiadokolacje,3140.0,
Blue Horizon,Wypoczynek Grecja: Rodos,Grecja, Rodos,4.0,,0,05.05.2023,4,Katowice,Śniadania i obiadokolacje,3145.0,
Albatros White Beach,Wypoczynek Egipt: Hurghada,Egipt, Hurghada,5.0,5.2,14,17.12.2023,5,Katowice,All inclusive,3148.0,3448.0
Protel Grand Seas Resort,Wypoczynek Egipt: Hurghada,Egipt, Hurghada,4.0,4.6,7,14.05.2023,5,Katowice,All inclusive,3149.0,
HTop Royal Sun,Wypoczynek Hiszpania: Costa Brava - Costa del Maresme,Hiszpania, Costa Brava - Costa del Maresme,4.0,4.7,35,13.05.2023,8,Warszawa Chopin,All inclusive,3150.0,
Ideal Pearl Hotel,Wypoczynek Turcja: Marmaris,Turcja, Marmaris,4.0,5.5,3,22.05.2023,8,Katowice,All inclusive,3157.0,
Riverside Garden Resort,Wypoczynek Cypr Północny: Kyrenia,Cypr Północny, Kyrenia,4.0,5.0,75,13.05.2023,8,Katowice,All inclusive,3158.0,
Monica Isabel,Wypoczynek Portugalia: Algarve,Portugalia, Algarve,3.0,5.0,48,08.05.2023,8,Warszawa Chopin,All inclusive,3160.0,
Grand Yazici Club Marmaris Palace,Wypoczynek Turcja: Marmaris,Turcja, Marmaris,5.0,5.3,13,08.05.2023,8,Katowice,All inclusive,3161.0,
Cettia Beach Hotel,Wypoczynek Turcja: Marmaris,Turcja, Marmaris,4.0,,0,08.05.2023,8,Katowice,All inclusive,3161.0,
Three Corners Equinox Beach Resort,Wypoczynek Egipt: Marsa Alam,Egipt, Marsa Alam,4.5,5.3,328,30.05.2023,5,Warszawa Chopin,All inclusive,3161.0,
Kenzi Europa,Wypoczynek Maroko: Agadir,Maroko, Agadir,4.0,5.3,77,15.12.2023,8,Katowice,All inclusive,3165.0,3615.0
Nona,Wypoczynek Bułgaria: Albena,Bułgaria, Albena,3.0,3.9,15,12.09.2023,8,Wrocław,All inclusive,3166.0,
Apartamenty Orebić,Wypoczynek Chorwacja: Orebić - Płw. Peljesac,Chorwacja, Orebić - Płw. Peljesac,2.0,5.1,29,24.08.2023,8,Katowice,Bez wyżywienia,3166.0,
Seaden Valentine Resort & Spa,Wypoczynek Turcja: Riwiera Turecka,Turcja, Riwiera Turecka,5.0,,0,04.11.2023,8,Katowice,All inclusive,3167.0,3567.0
Starlight Resort Hotel,Wypoczynek Turcja: Riwiera Turecka,Turcja, Riwiera Turecka,5.0,5.3,102,13.05.2023,8,Wrocław,Ultra All Inclusive,3168.0,
Bliżej Bogów,Objazd + wypoczynek Grecja: Zakynthos - Peloponez,Grecja, Zakynthos - Peloponez,,5.0,221,06.10.2023,8,Katowice,Śniadania,3173.0,
Indigo Mare,Wypoczynek Grecja: Kreta - Chania,Grecja, Kreta - Chania,3.0,,0,08.10.2023,8,Katowice,Śniadania,3173.0,
Lindos White Hotel & Suites,Wypoczynek Grecja: Rodos,Grecja, Rodos,4.0,,0,02.10.2023,8,Katowice,All inclusive,3174.0,
Roma & Vaticano - Doppio Italiano,Objazd Włochy: Lacjum,Włochy, Lacjum,,5.2,45,08.09.2023,7,Warszawa Chopin,Śniadania,3176.0,
Pinea Resort & Spa,Wypoczynek Albania: Durres,Albania, Durres,5.0,,0,25.09.2023,8,Katowice,All inclusive,3177.0,
Fllad Resort & SPA,Wypoczynek Albania: Durres,Albania, Durres,5.0,5.2,71,09.06.2023,8,Poznań,All inclusive,3179.0,
Playasol Aquapark SPA,Wypoczynek Hiszpania: Costa Almeria,Hiszpania, Costa Almeria,4.0,5.1,179,09.10.2023,8,Warszawa Chopin,Śniadania i obiadokolacje,3179.0,
Fantazia Resort,Wypoczynek Egipt: Marsa Alam,Egipt, Marsa Alam,5.0,6.0,1,30.05.2023,5,Warszawa Chopin,All inclusive,3179.0,
Sousouras,Wypoczynek Grecja: Chalkidiki,Grecja, Chalkidiki,3.0,4.5,3,30.09.2023,8,Katowice,Śniadania,3180.0,
Hotel Poseidon,Wypoczynek Bułgaria: Słoneczny Brzeg,Bułgaria, Słoneczny Brzeg,4.0,,0,01.09.2023,8,Warszawa Chopin,All inclusive,3180.0,
Duja Didim,Wypoczynek Turcja: Riwiera Egejska,Turcja, Riwiera Egejska,5.0,,0,07.05.2023,8,Warszawa Chopin,Ultra All Inclusive,3180.0,
ALEGRIA Caprici Verd,Wypoczynek Hiszpania: Costa Brava,Hiszpania, Costa Brava,4.0,5.8,2,20.05.2023,8,Warszawa Chopin,Śniadania i obiadokolacje,3180.0,
Lindos Breeze Beach Hotel,Wypoczynek Grecja: Rodos,Grecja, Rodos,5.0,5.3,127,08.05.2023,8,Katowice,All inclusive,3181.0,
Ancient Sands El Gouna,Wypoczynek Egipt: Hurghada,Egipt, Hurghada,5.0,,0,17.12.2023,5,Katowice,All inclusive,3182.0,3482.0
Rhodes Bay Hotel (ex. Amathus Beach Hotel),Wypoczynek Grecja: Rodos,Grecja, Rodos,5.0,5.2,97,05.05.2023,4,Katowice,Śniadania,3185.0,
Orka Lotus Beach Hotel,Wypoczynek Turcja: Riwiera Egejska - Marmaris - Dalaman,Turcja, Riwiera Egejska - Marmaris - Dalaman,5.0,5.4,173,08.05.2023,8,Katowice,Ultra All Inclusive,3186.0,
Ami Budva Petrovac,Wypoczynek Czarnogóra,Czarnogóra,,5.0,,0,25.05.2023,8,Katowice,Śniadania,3188.0,
Kirman Sidera Luxury and Spa,Wypoczynek Turcja: Riwiera Turecka,Turcja, Riwiera Turecka,5.0,5.8,8,18.11.2023,8,Katowice,Ultra All Inclusive,3190.0,3590.0
Labranda Bronze Playa,Wypoczynek Hiszpania: Gran Canaria,Hiszpania, Gran Canaria,4.0,5.3,120,09.05.2023,8,Katowice,All inclusive,3195.0,
Alexander House,Wypoczynek Grecja: Kreta - Heraklion,Grecja, Kreta - Heraklion,4.0,5.3,33,08.10.2023,8,Katowice,All inclusive,3196.0,
Golden Taurus Aquapark Resort,Wypoczynek Hiszpania: Costa Brava - Costa del Maresme,Hiszpania, Costa Brava - Costa del Maresme,4.5,5.5,12,13.05.2023,8,Warszawa Chopin,Śniadania i obiadokolacje,3196.0,
Epidaurus,Wypoczynek Chorwacja: Dubrownik,Chorwacja, Dubrownik,3.0,4.7,12,04.05.2023,8,Warszawa Chopin,Śniadania i obiadokolacje,3200.0,
Seabel Rym Beach Djerba,Wypoczynek Tunezja: Djerba,Tunezja, Djerba,4.0,,0,04.05.2023,8,Warszawa Chopin,All inclusive,3201.0,
Orca Praia,Wypoczynek Portugalia: Madera,Portugalia, Madera,3.0,5.6,23,16.12.2023,8,Katowice,Śniadania,3211.0,3711.0
Palia Maria Eugenia,Wypoczynek Hiszpania: Majorka,Hiszpania, Majorka,4.0,5.2,195,14.05.2023,8,Katowice,All inclusive,3211.0,
Concorde Green Park Palace,Wypoczynek Tunezja: Susa,Tunezja, Susa,5.0,5.5,29,07.05.2023,8,Katowice,All inclusive,3212.0,
Aqua Sun Village,Wypoczynek Grecja: Kreta - Heraklion,Grecja, Kreta - Heraklion,4.0,,0,01.10.2023,8,Katowice,All inclusive,3218.0,
Adalya Elite Lara,Wypoczynek Turcja: Riwiera Turecka,Turcja, Riwiera Turecka,5.0,6.0,2,16.12.2023,8,Katowice,Ultra All Inclusive,3220.0,3720.0
Magiczne Południe,Objazd + wypoczynek Maroko: Marrakesz-Safi - Agadir - Souss-Massa - Draa - Tafilalet,Maroko, Marrakesz-Safi - Agadir - Souss-Massa - Draa - Tafilalet,,5.4,665,05.05.2023,8,Katowice,Śniadania i obiadokolacje,3220.0,
Royal Decameron Tafoukt Beach Resort & Spa - All Inclusive,Wypoczynek Maroko: Agadir,Maroko, Agadir,4.0,5.4,22,15.12.2023,8,Katowice,All inclusive,3225.0,3675.0
IBEROSTAR Averroes,Wypoczynek Tunezja: Nabul,Tunezja, Nabul,4.0,5.3,3,04.05.2023,8,Katowice,All inclusive,3225.0,
Hotel Gattopardo,Wypoczynek Włochy: Sycylia,Włochy, Sycylia,3.0,,0,18.06.2023,8,Katowice,Śniadania,3228.0,
IFA Altamarena,Wypoczynek Hiszpania: Fuerteventura,Hiszpania, Fuerteventura,4.0,5.4,53,08.05.2023,8,Warszawa Chopin,All inclusive,3229.0,
Glarus,Wypoczynek Bułgaria: Słoneczny Brzeg,Bułgaria, Słoneczny Brzeg,4.0,5.8,4,13.06.2023,8,Warszawa Chopin,All inclusive,3229.0,
Oasis Park Splash,Wypoczynek Hiszpania: Costa Brava - Costa del Maresme,Hiszpania, Costa Brava - Costa del Maresme,4.0,4.5,59,13.05.2023,8,Warszawa Chopin,All inclusive,3229.0,
Asteria Family Sunny Beach,Wypoczynek Bułgaria: Słoneczny Brzeg,Bułgaria, Słoneczny Brzeg,4.0,,0,06.06.2023,8,Warszawa Chopin,Ultra All Inclusive,3229.0,
Samara Hotel,Wypoczynek Turcja: Riwiera Egejska,Turcja, Riwiera Egejska,5.0,5.6,17,07.05.2023,8,Warszawa Chopin,Ultra All Inclusive,3230.0,
Sato,Wypoczynek Czarnogóra,Czarnogóra,,4.0,,0,25.05.2023,8,Katowice,Śniadania i obiadokolacje,3234.0,
Rodos Palace,Wypoczynek Grecja: Rodos,Grecja, Rodos,5.0,,0,08.05.2023,5,Katowice,Śniadania,3237.0,
Almyrida Beach,Wypoczynek Grecja: Kreta - Chania,Grecja, Kreta - Chania,4.0,5.5,2,08.10.2023,8,Katowice,Śniadania i obiadokolacje,3238.0,
Gennadi Grand Resort,Wypoczynek Grecja: Rodos,Grecja, Rodos,5.0,4.7,3,05.05.2023,4,Katowice,Śniadania,3238.0,
IBEROSTAR Selection Kuriat Palace,Wypoczynek Tunezja: Monastyr,Tunezja, Monastyr,5.0,5.8,13,18.06.2023,5,Katowice,All inclusive,3240.0,
Marlita Beach Hotel & Apartments,Wypoczynek Cypr: Cypr południowy,Cypr, Cypr południowy,4.0,5.2,42,06.05.2023,8,Katowice,All inclusive,3240.0,
Rena,Wypoczynek Grecja: Santorini,Grecja, Santorini,3.0,3.0,10,19.06.2023,8,Warszawa Chopin,Śniadania,3242.0,
Sataya Resort Marsa Alam,Wypoczynek Egipt: Marsa Alam,Egipt, Marsa Alam,5.0,5.4,72,12.12.2023,8,Katowice,All inclusive,3243.0,3493.0
Pegasos Beach,Wypoczynek Grecja: Rodos,Grecja, Rodos,4.0,,0,05.05.2023,4,Katowice,All inclusive,3243.0,
Sol Y Mare Reef Marsa (ex. Resta Reef),Wypoczynek Egipt: Marsa Alam,Egipt, Marsa Alam,4.0,5.3,8,12.12.2023,8,Katowice,All inclusive,3243.0,3493.0
Bellevue,Wypoczynek Bułgaria: Słoneczny Brzeg,Bułgaria, Słoneczny Brzeg,4.0,6.0,1,06.06.2023,8,Warszawa Chopin,All inclusive,3244.0,
Orel,Wypoczynek Bułgaria: Słoneczny Brzeg,Bułgaria, Słoneczny Brzeg,3.0,,0,06.06.2023,8,Warszawa Chopin,Ultra All Inclusive,3244.0,
Duni Marina Beach,Wypoczynek Bułgaria: Sozopol,Bułgaria, Sozopol,5.0,,0,06.06.2023,8,Warszawa Chopin,All inclusive,3244.0,
Golden Rock,Wypoczynek Turcja: Marmaris,Turcja, Marmaris,5.0,5.6,11,09.10.2023,8,Katowice,All inclusive,3248.0,
Anglia Królewska - samolotem,Objazd Wielka Brytania,Wielka Brytania,,,5.3,14,04.06.2023,6,Katowice,Śniadania,3249.0,
Laguna Park & Aqua,Wypoczynek Bułgaria: Słoneczny Brzeg,Bułgaria, Słoneczny Brzeg,4.0,,0,06.06.2023,8,Warszawa Chopin,All inclusive,3250.0,
Palia Castell Dels Hams,Wypoczynek Hiszpania: Majorka,Hiszpania, Majorka,4.0,5.2,15,14.05.2023,8,Katowice,All inclusive,3250.0,
"Między niebem, ziemią a morzem (z przelotem do Dubrownika)","Objazd + wypoczynek Chorwacja, Czarnogóra, Albania, Bośnia i Hercegowina","Chorwacja, Czarnogóra, Albania, Bośnia i Hercegowina",,,4.8,279,13.07.2023,8,Katowice,Śniadania i obiadokolacje,3254.0,
"Bułgaria - Od gór do morza, po Złote Piaski",Objazd + wypoczynek Bułgaria: Złote Piaski - Sofia,Bułgaria, Złote Piaski - Sofia,,5.2,88,04.08.2023,8,Katowice,Śniadania,3256.0,
Baia Sporting & Villa Athena,Wypoczynek Włochy: Sycylia,Włochy, Sycylia,4.0,4.7,26,18.06.2023,8,Katowice,Śniadania,3257.0,
Labranda Alantur Resort,Wypoczynek Turcja: Riwiera Turecka,Turcja, Riwiera Turecka,5.0,5.3,39,21.10.2023,8,Katowice,All inclusive,3260.0,
Concorde Moreen Beach Resort & Spa Marsa Alam,Wypoczynek Egipt: Marsa Alam,Egipt, Marsa Alam,5.0,4.8,31,30.05.2023,5,Warszawa Chopin,All inclusive,3261.0,
IBEROSTAR Founty Beach,Wypoczynek Maroko: Agadir,Maroko, Agadir,4.5,5.4,284,15.12.2023,8,Katowice,All inclusive,3265.0,3765.0
Sunrise Resort Hotel,Wypoczynek Turcja: Riwiera Turecka,Turcja, Riwiera Turecka,5.0,5.4,109,13.05.2023,8,Wrocław,Ultra All Inclusive,3267.0,
Pavlina Beach,Wypoczynek Grecja: Peloponez,Grecja, Peloponez,4.0,4.0,1,13.06.2023,8,Katowice,All inclusive,3275.0,
Grifid Foresta,Wypoczynek Bułgaria: Złote Piaski,Bułgaria, Złote Piaski,3.0,,0,12.09.2023,8,Wrocław,All inclusive,3277.0,
Blue Bay Resort,Wypoczynek Grecja: Kreta - Heraklion,Grecja, Kreta - Heraklion,4.0,5.4,14,08.10.2023,8,Katowice,All inclusive,3278.0,
Aminess Marko Polo,Wypoczynek Chorwacja: Korcula,Chorwacja, Korcula,4.0,5.1,14,28.09.2023,8,Warszawa Chopin,Śniadania i obiadokolacje,3279.0,
Hotel MPM Arsena,Wypoczynek Bułgaria: Słoneczny Brzeg,Bułgaria, Słoneczny Brzeg,4.0,,0,06.06.2023,8,Warszawa Chopin,Ultra All Inclusive,3279.0,
Sunny Day Resort Palace,Wypoczynek Bułgaria: Złote Piaski,Bułgaria, Złote Piaski,5.0,,0,06.06.2023,8,Warszawa Chopin,Śniadania i obiadokolacje,3279.0,
Bluesun Alga,Wypoczynek Chorwacja,Chorwacja,,4.0,,0,28.09.2023,8,Warszawa Chopin,Śniadania,3280.0,
Lido Corfu,Wypoczynek Grecja: Korfu,Grecja, Korfu,4.0,5.1,251,30.09.2023,8,Katowice,All inclusive,3288.0,
Lonicera Resort and Spa,Wypoczynek Turcja: Riwiera Turecka,Turcja, Riwiera Turecka,5.0,5.5,262,13.05.2023,8,Wrocław,All inclusive,3294.0,
Baia Kemer Club Master,Wypoczynek Turcja: Riwiera Turecka,Turcja, Riwiera Turecka,5.0,,0,13.05.2023,8,Wrocław,Ultra All Inclusive,3298.0,
Slavey,Wypoczynek Bułgaria: Złote Piaski,Bułgaria, Złote Piaski,4.0,5.6,7,13.06.2023,8,Warszawa Chopin,All inclusive,3299.0,
Golden Bahia de Tossa,Wypoczynek Hiszpania: Costa Brava,Hiszpania, Costa Brava,4.5,5.6,9,13.05.2023,8,Warszawa Chopin,Śniadania i obiadokolacje,3300.0,
Zachód Słońca na Księżycu,Objazd Grecja: Santorini,Grecja, Santorini,,5.1,131,02.10.2023,8,Warszawa Chopin,Śniadania,3300.0,
Marea Hotel & Spa,Wypoczynek Bośnia i Hercegowina,Bośnia i Hercegowina,,4.0,6.0,1,18.05.2023,8,Warszawa Chopin,Śniadania i obiadokolacje,3301.0,
"Bałkany polako, polako, CPO - HOTEL JADRAN",Objazd + wypoczynek Bośnia i Hercegowina i Chorwacja,Bośnia i Hercegowina i Chorwacja,,,5.4,13,28.09.2023,8,Warszawa Chopin,Śniadania i obiadokolacje,3301.0,
White Sails Residential Hotel,Wypoczynek Gruzja: Batumi,Gruzja, Batumi,4.0,4.4,8,26.09.2023,8,Warszawa Chopin,Śniadania,3301.0,
Faraana Reef Resort,Wypoczynek Egipt: Sharm el Sheikh,Egipt, Sharm el Sheikh,4.0,4.7,113,16.12.2023,8,Katowice,All inclusive,3306.0,3506.0
Parthenon Art,Wypoczynek Grecja: Riwiera Olimpijska,Grecja, Riwiera Olimpijska,3.0,5.4,23,30.09.2023,8,Katowice,"Śniadania, obiady i kolacje",3311.0,
Cesarskie Miasta,Objazd + wypoczynek Maroko: Marrakesz-Safi - Agadir,Maroko, Marrakesz-Safi - Agadir,,5.3,1153,15.12.2023,8,Katowice,Śniadania i obiadokolacje,3311.0,3511.0
Zamki w piasku z Aqaby,Objazd + wypoczynek Jordania: Amman - Aqaba - Morze Martwe,Jordania, Amman - Aqaba - Morze Martwe,,5.1,59,18.12.2023,8,Katowice,Śniadania i obiadokolacje,3314.0,3564.0
HVD Club Bor,Wypoczynek Bułgaria: Słoneczny Brzeg,Bułgaria, Słoneczny Brzeg,4.0,,0,06.06.2023,8,Warszawa Chopin,Ultra All Inclusive,3315.0,
Peridis Family Resort,Wypoczynek ,,,5.0,,0,26.09.2023,8,Wrocław,Bez wyżywienia,3316.0,
Dubaj i Abu Zabi - orientalny eliksir,Objazd Zjednoczone Emiraty Arabskie: Dubaj,Zjednoczone Emiraty Arabskie, Dubaj,,5.4,108,13.12.2023,5,Kraków,Śniadania,3318.0,3568.0
Regency Plaza Aqua Park & Spa,Wypoczynek Egipt: Sharm el Sheikh,Egipt, Sharm el Sheikh,5.0,4.3,28,16.12.2023,8,Katowice,All inclusive,3319.0,3569.0
Chrissy’s Paradise,Wypoczynek Grecja: Kreta - Heraklion,Grecja, Kreta - Heraklion,4.0,,0,01.10.2023,8,Katowice,All inclusive,3322.0,
Baku - Mit szklanych domów,Objazd Azerbejdżan: Baku,Azerbejdżan, Baku,,,0,24.06.2023,5,Warszawa Chopin,Śniadania,3324.0,
Granit,Wypoczynek Macedonia: Ochryd,Macedonia, Ochryd,4.0,5.1,56,14.08.2023,8,Katowice,All inclusive,3325.0,
Palmon Bay,Wypoczynek Czarnogóra,Czarnogóra,,4.0,,0,21.09.2023,8,Katowice,Śniadania,3326.0,
Kornati Biograd na Moru,Wypoczynek Chorwacja: Kastelanska Riwiera,Chorwacja, Kastelanska Riwiera,4.0,,0,07.09.2023,8,Katowice,Śniadania,3328.0,
Royal Bay,Wypoczynek Bułgaria: Słoneczny Brzeg,Bułgaria, Słoneczny Brzeg,4.0,5.3,3,06.06.2023,8,Warszawa Chopin,All inclusive,3329.0,
Aminess Port 9,Wypoczynek Chorwacja: Korcula,Chorwacja, Korcula,4.5,4.8,25,28.09.2023,8,Warszawa Chopin,Śniadania i obiadokolacje,3329.0,
LABRANDA Bahia Fanabe,Wypoczynek Hiszpania: Teneryfa,Hiszpania, Teneryfa,3.0,4.8,105,11.05.2023,8,Warszawa Chopin,All inclusive,3330.0,
Hotel Nobel,Wypoczynek Bułgaria: Słoneczny Brzeg,Bułgaria, Słoneczny Brzeg,4.0,,0,06.06.2023,8,Warszawa Chopin,Ultra All Inclusive,3330.0,
Holiday Inn Downtown Abu Dhabi,Wypoczynek Zjednoczone Emiraty Arabskie: Abu Dhabi,Zjednoczone Emiraty Arabskie, Abu Dhabi,4.0,5.0,10,01.12.2023,8,Katowice,Śniadania,3330.0,3530.0
Ach Batumi - Gruzja Light,Objazd Gruzja,Gruzja,,,4.5,30,13.06.2023,8,Warszawa Chopin,Wg programu imprezy,3330.0,
Baia Del Sole,Wypoczynek Włochy: Sycylia,Włochy, Sycylia,3.0,,0,18.06.2023,8,Katowice,Śniadania,3336.0,
Ulysse Djerba Thalasso & Spa (ex Two Ulysse Djerba Resort & Thalasso),Wypoczynek Tunezja: Djerba,Tunezja, Djerba,5.0,5.4,17,26.10.2023,8,Katowice,All inclusive,3337.0,
Pantokrator Hotel,Wypoczynek Grecja: Korfu,Grecja, Korfu,3.0,,0,27.09.2023,8,Katowice,Śniadania i obiadokolacje,3340.0,
Marina Sharm (ex. Helnan Marina Sharm),Wypoczynek Egipt: Sharm el Sheikh,Egipt, Sharm el Sheikh,4.0,4.8,24,16.12.2023,8,Katowice,All inclusive,3343.0,3543.0
Hotel Planos,Wypoczynek Grecja: Zakynthos,Grecja, Zakynthos,4.0,,0,09.06.2023,8,Katowice,All inclusive,3344.0,
Sheraton Miramar Resort El Gouna,Wypoczynek Egipt: Hurghada,Egipt, Hurghada,5.0,,0,17.12.2023,5,Katowice,All inclusive,3347.0,3647.0
Jardins d’Ajuda,Wypoczynek Portugalia: Madera,Portugalia, Madera,4.0,4.7,28,16.12.2023,8,Katowice,Śniadania i obiadokolacje,3347.0,3847.0
Sharm El Sheikh - Kair - Aleksandria - W cieniu Wielkiego Sfinksa,Objazd + wypoczynek Egipt: Sharm el Sheikh,Egipt, Sharm el Sheikh,,3.4,7,02.12.2023,8,Katowice,Śniadania i obiadokolacje,3347.0,3647.0
Albatros Citadel,Wypoczynek Egipt: Hurghada,Egipt, Hurghada,5.0,5.5,56,17.12.2023,5,Katowice,All inclusive,3348.0,3648.0
Atrium Ambiance,Wypoczynek Grecja: Kreta - Chania,Grecja, Kreta - Chania,4.0,,0,08.10.2023,8,Katowice,Śniadania i obiadokolacje,3353.0,
Arabella Beach,Wypoczynek Bułgaria: Albena,Bułgaria, Albena,3.5,,0,12.09.2023,8,Wrocław,All inclusive,3356.0,
Lemon & Soul Canaima Apartments,Wypoczynek Hiszpania: Gran Canaria,Hiszpania, Gran Canaria,3.0,6.0,1,12.12.2023,8,Katowice,Bez wyżywienia,3358.0,3758.0
Palmera Mar,Wypoczynek Hiszpania: Gran Canaria,Hiszpania, Gran Canaria,2.0,4.3,2,12.12.2023,8,Katowice,Bez wyżywienia,3358.0,3758.0
Fortezza Beach Resort,Wypoczynek Turcja: Marmaris,Turcja, Marmaris,5.0,,0,08.05.2023,8,Katowice,Ultra All Inclusive,3360.0,
Rodos - Wyspa Słońca,Objazd + wypoczynek Grecja: Rodos,Grecja, Rodos,,,0,12.05.2023,9,Warszawa Chopin,Śniadania i obiadokolacje,3360.0,
Parrotel Aqua Park Resort,Wypoczynek Egipt: Sharm el Sheikh,Egipt, Sharm el Sheikh,4.0,,0,16.12.2023,8,Katowice,All inclusive,3366.0,3616.0
Royal G Max,Wypoczynek Albania: Durres,Albania, Durres,5.0,3.9,30,05.06.2023,8,Warszawa Chopin,All inclusive,3375.0,
Gardelli Resort,Wypoczynek Grecja: Zakynthos,Grecja, Zakynthos,4.0,4.9,117,06.10.2023,8,Katowice,All inclusive,3376.0,
MPM Zornitza Sands,Wypoczynek Bułgaria: Słoneczny Brzeg,Bułgaria, Słoneczny Brzeg,4.0,,0,06.06.2023,8,Warszawa Chopin,Ultra All Inclusive,3379.0,
Duni Marina Royal Palace,Wypoczynek Bułgaria: Sozopol,Bułgaria, Sozopol,5.0,,0,06.06.2023,8,Warszawa Chopin,All inclusive,3379.0,
Hotel Royal Palace Helena Sands,Wypoczynek Bułgaria: Słoneczny Brzeg,Bułgaria, Słoneczny Brzeg,5.0,,0,06.06.2023,8,Warszawa Chopin,Śniadania i obiadokolacje,3379.0,
Dalmacja bez pośpiechu,Objazd + wypoczynek Chorwacja: Dubrownik,Chorwacja, Dubrownik,,5.3,21,28.09.2023,8,Warszawa Chopin,Śniadania i obiadokolacje,3380.0,
Charisma De Luxe Hotel,Wypoczynek Turcja: Riwiera Egejska,Turcja, Riwiera Egejska,5.0,,0,07.05.2023,8,Warszawa Chopin,Śniadania i obiadokolacje,3380.0,
Radisson Blu El Quseir,Wypoczynek Egipt: Marsa Alam,Egipt, Marsa Alam,5.0,4.9,17,30.05.2023,5,Warszawa Chopin,All inclusive,3380.0,
Waves Hotel (ex. Tropitel Waves),Wypoczynek Egipt: Sharm el Sheikh,Egipt, Sharm el Sheikh,5.0,5.8,2,16.12.2023,8,Katowice,All inclusive,3383.0,3683.0
Zamki w piasku,Objazd Jordania: Amman,Jordania, Amman,,5.4,50,25.11.2023,8,Kraków,Śniadania i obiadokolacje,3389.0,3639.0
Quattro Family Club Dem Hotel,Wypoczynek Turcja: Riwiera Turecka,Turcja, Riwiera Turecka,5.0,,0,20.05.2023,8,Wrocław,Ultra All Inclusive,3392.0,
